,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
364,Kyle Kuzma,15.1,2017-18,2022-23,22-27,406,276,0,31.1,6.2,13.9,4.3,8.0,2.0,5.8,2.1,2.9,1.1,5.3,6.4,2.5,0.6,0.5,2.1,2.1,16.5,.449,.529,.338,.725,.545,.519,F,LALWAS,kuzmaky01
365,Nic Claxton,15.1,2019-20,2022-23,20-23,170,96,0,23.7,4.2,6.1,4.2,6.1,0.0,0.1,1.3,2.5,2.0,4.9,6.9,1.4,0.7,1.7,0.9,2.4,9.7,.679,.686,.143,.540,.670,.680,C,BRK,claxtni01
366,Caron Butler,15.1,2009-10,2015-16,29-35,395,279,0,26.9,4.1,9.7,2.9,6.5,1.2,3.2,1.6,1.9,0.7,3.1,3.7,1.3,0.9,0.2,1.2,2.0,10.9,.419,.443,.369,.832,.517,.480,F,DALDETLACMILOKCSACWAS,butleca01
367,E'Twaun Moore,14.8,2011-12,2020-21,22-31,598,191,0,21.0,3.2,7.1,2.3,4.7,0.9,2.4,0.6,0.8,0.5,1.5,2.0,1.8,0.7,0.2,0.9,1.6,7.9,.455,.489,.388,.742,.535,.521,G-F,BOSCHINOPORLPHO,mooreet01
368,Terrence Jones,14.7,2012-13,2018-19,21-27,234,118,0,23.8,4.2,8.4,3.8,7.1,0.4,1.3,1.6,2.5,1.7,4.0,5.7,1.0,0.6,1.2,0.9,1.7,10.4,.501,.539,.297,.621,.545,.524,F,HOUMILNOP,joneste01
369,Tyrese Maxey,14.6,2020-21,2022-23,20-22,196,123,0,28.6,5.7,11.9,4.1,7.9,1.6,4.0,2.3,2.7,0.3,2.3,2.7,3.3,0.7,0.3,1.1,1.9,15.4,.479,.512,.414,.858,.587,.548,G,PHI,maxeyty01
370,Mike Miller,14.5,2009-10,2016-17,29-36,394,92,0,18.3,2.0,4.4,0.9,1.9,1.1,2.5,0.4,0.5,0.4,2.6,3.0,1.6,0.4,0.1,0.9,1.4,5.4,.448,.482,.424,.782,.585,.570,F-G,CLEDENMEMMIAWAS,millemi01
371,Torrey Craig,14.5,2017-18,2022-23,27-32,379,153,0,19.9,2.3,5.1,1.4,2.5,0.9,2.6,0.5,0.7,1.3,2.7,4.0,1.1,0.5,0.6,0.7,2.1,6.0,.456,.567,.347,.696,.557,.544,G-F,DENINDMILPHO,craigto01
372,Cameron Johnson,14.4,2019-20,2022-23,23-26,225,77,0,25.0,3.9,8.8,1.7,3.2,2.2,5.6,1.3,1.6,0.7,3.0,3.8,1.5,0.8,0.3,0.7,1.6,11.3,.447,.543,.393,.843,.600,.572,F,BRKPHO,johnsca02
373,Langston Galloway,14.4,2014-15,2021-22,23-30,452,62,0,21.8,2.9,7.3,1.5,3.4,1.4,3.8,0.9,1.1,0.5,2.0,2.4,1.6,0.7,0.1,0.6,1.6,8.1,.397,.430,.368,.816,.521,.494,G,BRKDETMILNOPNYKPHOSAC,gallola01
374,Kevin Huerter,14.3,2018-19,2022-23,20-24,349,291,0,29.6,4.6,10.4,2.4,4.7,2.2,5.7,0.8,1.1,0.6,2.9,3.5,3.1,1.0,0.3,1.3,2.4,12.2,.444,.515,.385,.766,.563,.550,G,ATLSAC,huertke01
375,Terance Mann,14.3,2019-20,2022-23,23-26,270,85,0,21.5,3.0,6.1,2.3,4.2,0.7,1.9,1.2,1.5,0.9,2.8,3.7,2.0,0.5,0.2,0.8,1.8,8.0,.500,.553,.383,.784,.592,.560,G-F,LAC,mannte01
376,Jarred Vanderbilt,14.3,2018-19,2022-23,19-23,244,162,0,20.5,2.5,4.4,2.4,4.0,0.1,0.5,1.0,1.6,2.1,4.5,6.6,1.5,1.0,0.5,1.0,2.1,6.2,.573,.606,.288,.643,.607,.588,F,DENLALMINUTA,vandeja01
377,Andray Blatche,14.3,2009-10,2013-14,23-27,326,127,0,25.2,5.1,10.9,5.0,10.4,0.1,0.4,2.3,3.1,2.0,4.1,6.1,1.7,1.1,0.7,1.9,2.4,12.6,.469,.478,.255,.737,.514,.474,F,BRKWAS,blatcan01
378,Aaron Brooks,14.2,2009-10,2017-18,25-33,514,148,0,21.1,3.6,8.7,2.3,5.2,1.3,3.5,1.4,1.7,0.4,1.3,1.7,3.1,0.6,0.1,1.6,1.9,9.9,.414,.442,.373,.831,.525,.489,G,CHIDENHOUINDMINPHOSAC,brookaa01
379,Carlos Delfino,14.2,2009-10,2012-13,27-30,245,164,0,29.0,3.8,9.5,1.8,4.1,2.0,5.3,1.0,1.2,0.5,3.7,4.2,2.3,1.2,0.2,1.3,1.7,10.6,.402,.445,.369,.802,.528,.506,G,HOUMIL,delfica01
380,Zion Williamson,14.2,2019-20,2022-23,19-22,114,114,2,32.0,9.9,16.4,9.7,15.8,0.2,0.6,5.8,8.4,2.5,4.4,7.0,3.6,0.9,0.6,2.9,2.1,25.8,.605,.615,.343,.691,.643,.611,F-C,NOP,willizi01
381,Marcus Camby,14.2,2009-10,2012-13,35-38,216,182,0,25.3,2.3,5.3,2.3,5.2,0.0,0.1,0.7,1.3,2.8,6.8,9.7,2.0,0.9,1.6,1.0,2.1,5.4,.441,.442,.308,.575,.463,.442,C-F,HOULACNYKPOR,cambyma01
382,Immanuel Quickley,14.1,2020-21,2022-23,21-23,223,27,0,24.2,4.2,10.0,2.3,4.9,1.9,5.2,2.4,2.8,0.5,2.7,3.2,3.1,0.7,0.1,1.2,2.0,12.7,.416,.468,.367,.859,.561,.510,G,NYK,quickim01
383,Ronnie Brewer,14.1,2009-10,2013-14,24-28,289,134,0,21.4,2.3,5.2,2.1,4.5,0.2,0.7,0.8,1.4,0.7,2.1,2.9,1.7,1.1,0.2,0.6,0.9,5.7,.447,.476,.270,.600,.489,.466,G-F,CHIHOUMEMNYKOKCUTA,brewero02
384,Ish Smith,14.1,2010-11,2022-23,22-34,762,167,0,19.4,3.1,7.3,2.7,6.1,0.4,1.2,0.7,1.0,0.4,2.1,2.4,3.8,0.7,0.3,1.2,1.3,7.3,.429,.451,.323,.676,.474,.457,G,CHODENDETGSWHOUMEMMILNOPOKCORLPHIPHOWAS,smithis01
385,Gary Trent Jr.,14.1,2018-19,2022-23,20-24,270,160,0,28.9,5.1,12.2,2.7,5.9,2.4,6.3,1.7,2.1,0.4,1.9,2.3,1.5,1.2,0.2,0.7,1.6,14.4,.421,.461,.384,.827,.550,.520,G,PORTOR,trentga02
386,Derrick Williams,14.1,2011-12,2017-18,20-26,428,112,0,20.7,3.1,7.2,2.5,5.2,0.6,2.0,2.1,3.0,0.8,3.1,4.0,0.7,0.5,0.3,0.9,1.2,8.9,.434,.484,.300,.710,.526,.475,F,CLELALMIAMINNYKSAC,willide02
387,Nate Robinson,14.0,2009-10,2015-16,25-31,336,48,0,20.5,3.6,8.7,2.3,5.0,1.3,3.6,1.2,1.6,0.4,1.5,1.8,3.2,0.8,0.1,1.3,2.2,9.8,.419,.456,.368,.796,.526,.496,G,BOSCHIDENGSWLACNOPNYKOKC,robinna01
388,Jaxson Hayes,14.0,2019-20,2022-23,19-22,241,47,0,16.8,2.8,4.5,2.7,4.1,0.1,0.4,1.7,2.4,1.4,2.6,4.0,0.7,0.4,0.7,0.7,2.0,7.5,.622,.657,.288,.719,.670,.636,F,NOP,hayesja02
389,Michael Porter Jr.,13.9,2019-20,2022-23,21-24,187,133,0,26.1,5.7,11.3,3.4,5.8,2.3,5.5,1.4,1.8,1.2,4.7,5.9,1.1,0.6,0.6,1.1,1.9,15.2,.506,.590,.417,.797,.627,.608,F,DEN,portemi01
390,Chuck Hayes,13.9,2009-10,2015-16,26-32,376,156,0,19.0,1.7,3.5,1.7,3.5,0.0,0.0,0.6,0.9,1.7,3.3,5.0,1.6,0.7,0.4,0.8,2.1,4.0,.482,.484,.000,.643,.507,.482,F-C,HOUSACTOR,hayesch01
391,Chase Budinger,13.9,2009-10,2015-16,21-27,407,50,0,19.7,2.9,6.8,1.9,3.9,1.0,2.9,1.0,1.3,0.6,2.5,3.0,1.2,0.5,0.2,0.8,1.2,7.9,.430,.486,.352,.797,.534,.504,F,HOUINDMINPHO,budinch01
392,Jabari Parker,13.8,2014-15,2021-22,19-26,310,190,0,27.5,5.7,11.5,5.0,9.4,0.7,2.1,2.0,2.8,1.4,4.0,5.5,2.0,0.9,0.4,1.7,2.0,14.1,.494,.531,.326,.743,.554,.523,F,ATLBOSCHIMILSACWAS,parkeja01
393,Darius Garland,13.8,2019-20,2022-23,20-23,250,246,1,34.0,6.8,15.2,4.6,9.5,2.2,5.7,2.7,3.1,0.5,2.1,2.6,6.7,1.1,0.1,3.0,1.9,18.5,.449,.485,.387,.871,.559,.521,G,CLE,garlada01
394,Hedo Türkoğlu,13.8,2009-10,2014-15,30-35,319,197,0,24.3,3.0,7.1,1.7,3.7,1.3,3.4,1.1,1.6,0.4,3.1,3.5,3.1,0.7,0.3,1.4,2.3,8.4,.420,.455,.382,.715,.539,.511,F,LACORLPHOTOR,turkohe01
395,Lavoy Allen,13.8,2011-12,2016-17,22-27,388,87,0,17.8,2.1,4.5,2.1,4.5,0.0,0.0,0.5,0.7,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8,.471,.474,.133,.682,.491,.472,F-C,INDPHI,allenla01
396,Allen Crabbe,13.7,2013-14,2019-20,21-27,381,113,0,24.0,3.2,7.6,1.6,3.4,1.6,4.2,1.0,1.2,0.3,2.5,2.8,1.1,0.6,0.3,0.7,2.0,9.1,.425,.471,.387,.831,.559,.531,G-F,ATLBRKMINPOR,crabbal01
397,Evan Mobley,13.7,2021-22,2022-23,20-21,148,148,0,34.1,6.4,12.0,6.1,10.7,0.3,1.3,2.5,3.8,2.2,6.4,8.7,2.7,0.8,1.6,1.9,2.5,15.6,.533,.570,.232,.669,.572,.546,F-C,CLE,mobleev01
398,Duncan Robinson,13.6,2018-19,2022-23,24-28,281,210,0,26.1,3.7,8.6,0.7,1.2,2.9,7.4,0.8,0.9,0.2,2.6,2.8,1.5,0.5,0.2,0.9,2.4,11.1,.429,.609,.399,.866,.616,.599,G-F,MIA,robindu01
399,Steve Blake,13.6,2009-10,2015-16,29-35,451,86,0,22.5,2.0,5.1,0.8,2.0,1.2,3.1,0.4,0.5,0.2,1.9,2.1,3.8,0.6,0.1,1.4,1.4,5.5,.389,.413,.374,.770,.520,.503,G,DETGSWLACLALPOR,blakest01
400,Kent Bazemore,13.5,2012-13,2021-22,23-32,657,310,0,20.6,2.9,7.1,1.9,4.1,1.1,3.0,1.3,1.8,0.4,2.8,3.2,1.8,1.0,0.5,1.4,2.0,8.2,.413,.454,.356,.724,.521,.488,G-F,ATLGSWLALPORSAC,bazemke01
401,Khem Birch,13.4,2017-18,2022-23,25-30,282,75,0,17.1,1.9,3.7,1.9,3.4,0.0,0.2,1.1,1.6,1.9,2.5,4.4,1.0,0.5,0.5,0.5,1.6,5.0,.520,.544,.200,.698,.570,.527,C-F,ORLTOR,birchkh01
402,Donte DiVincenzo,13.4,2018-19,2022-23,22-26,273,127,0,24.3,3.3,7.7,1.6,3.1,1.7,4.7,0.9,1.2,1.0,3.6,4.6,2.8,1.2,0.2,1.4,1.7,9.1,.420,.509,.362,.777,.551,.529,G,GSWMILSAC,divindo01
403,Jon Leuer,13.2,2011-12,2018-19,22-29,377,80,0,15.8,2.6,5.4,2.3,4.4,0.3,1.0,0.8,1.1,0.9,2.8,3.8,0.8,0.4,0.3,0.7,1.5,6.4,.484,.520,.328,.767,.544,.515,F,CLEDETMEMMILPHO,leuerjo01
404,Onyeka Okongwu,13.2,2020-21,2022-23,20-22,178,28,0,19.3,3.2,4.9,3.2,4.8,0.0,0.1,1.5,2.0,2.2,3.5,5.7,0.9,0.6,1.1,0.9,2.8,7.9,.653,.660,.250,.741,.684,.655,F,ATL,okongon01
405,Isaiah Hartenstein,13.1,2018-19,2022-23,20-24,247,12,0,15.7,2.3,3.9,2.2,3.6,0.1,0.3,0.9,1.3,1.8,3.0,4.8,1.4,0.6,0.8,0.9,2.4,5.5,.578,.604,.310,.680,.614,.592,F,CLEDENHOULACNYK,harteis01
406,Boban Marjanović,13.1,2015-16,2022-23,27-34,317,25,0,8.9,2.2,3.7,2.1,3.6,0.0,0.1,1.3,1.7,1.2,2.4,3.6,0.5,0.2,0.3,0.6,1.1,5.6,.579,.591,.250,.765,.632,.584,C,DALDETHOULACPHISAS,marjabo01
407,Grayson Allen,13.1,2018-19,2022-23,23-27,264,171,0,23.4,3.2,7.5,1.3,2.7,1.9,4.8,1.3,1.5,0.5,2.3,2.8,1.7,0.6,0.2,0.9,1.5,9.7,.435,.509,.395,.861,.596,.562,G,MEMMILUTA,allengr01
408,Joel Anthony,13.0,2009-10,2016-17,27-34,401,81,0,13.7,0.8,1.5,0.8,1.5,0.0,0.0,0.5,0.8,1.1,1.6,2.7,0.2,0.2,1.0,0.4,1.6,2.1,.523,.523,,.674,.568,.523,C,BOSDETMIASAS,anthojo01
409,Trey Burke,12.9,2013-14,2021-22,21-29,498,130,0,20.9,3.7,9.0,2.6,5.7,1.1,3.3,1.1,1.3,0.3,1.4,1.8,3.1,0.6,0.1,1.1,1.3,9.6,.410,.448,.345,.810,.500,.473,G,DALNYKPHIUTAWAS,burketr01
410,Rondae Hollis-Jefferson,12.9,2015-16,2020-21,21-26,305,154,0,22.2,3.3,7.3,3.1,6.7,0.1,0.7,2.3,3.2,1.4,4.1,5.5,1.9,0.9,0.5,1.3,2.0,9.0,.449,.473,.212,.735,.518,.458,F,BRKPORTOR,holliro01
411,Iman Shumpert,12.9,2011-12,2020-21,21-30,461,246,0,24.9,2.7,6.8,1.6,3.6,1.1,3.1,0.8,1.1,0.7,2.6,3.3,1.8,1.1,0.3,1.1,2.3,7.2,.391,.438,.337,.764,.496,.469,G,BRKCLEHOUNYKSAC,shumpim01
412,Drew Gooden,12.8,2009-10,2015-16,28-34,280,104,0,20.7,3.5,7.9,3.3,7.1,0.2,0.7,1.9,2.2,2.0,3.7,5.7,1.1,0.5,0.5,1.2,2.2,9.0,.440,.456,.283,.831,.508,.453,F,DALLACMILWAS,goodedr01
413,Mo Bamba,12.6,2018-19,2022-23,20-24,275,82,0,18.0,2.9,6.1,2.0,3.6,0.9,2.5,0.8,1.1,1.6,4.2,5.8,0.9,0.4,1.3,0.8,2.2,7.5,.476,.560,.359,.681,.567,.551,C,LALORL,bambamo01
414,Rashard Lewis,12.6,2009-10,2013-14,30-34,272,154,0,24.6,3.3,7.7,1.9,4.0,1.4,3.7,1.1,1.4,0.8,2.7,3.5,1.2,0.8,0.3,1.1,2.0,9.0,.424,.475,.368,.785,.541,.512,F,MIAORLWAS,lewisra02
415,Andre Roberson,12.6,2013-14,2020-21,22-29,307,269,0,22.2,1.9,3.9,1.5,2.5,0.4,1.4,0.4,0.9,1.2,2.8,4.0,0.9,0.9,0.6,0.6,2.1,4.5,.473,.600,.253,.468,.520,.519,G-F,BRKOKC,roberan03
416,Greivis Vásquez,12.6,2010-11,2016-17,24-30,401,157,0,23.7,3.4,8.2,2.4,5.3,1.0,2.9,1.1,1.3,0.3,2.2,2.5,4.8,0.6,0.1,1.9,1.9,9.0,.418,.456,.349,.817,.509,.480,G,BRKMEMMILNOHSACTOR,vasqugr01
417,Devonte' Graham,12.6,2018-19,2022-23,23-27,313,171,0,25.7,3.7,9.9,1.3,3.2,2.4,6.7,1.8,2.3,0.4,1.9,2.3,4.5,0.8,0.2,1.4,1.3,11.6,.372,.405,.356,.812,.531,.492,G,CHONOPSAS,grahade01
418,Jason Smith,12.5,2009-10,2018-19,23-32,540,103,0,16.5,2.7,5.6,2.5,5.2,0.1,0.4,0.9,1.1,1.1,2.3,3.4,0.8,0.3,0.7,0.9,2.2,6.4,.469,.480,.336,.800,.517,.482,F-C,MILNOHNOPNYKORLPHIWAS,smithja02
419,Brendan Haywood,12.5,2009-10,2014-15,30-35,286,147,0,21.4,2.2,4.2,2.2,4.1,0.0,0.0,1.0,2.1,2.4,3.7,6.1,0.4,0.3,1.2,0.9,2.2,5.4,.529,.531,.000,.499,.536,.529,C,CHACLEDALWAS,haywobr01
420,Glen Davis,12.4,2009-10,2014-15,24-29,369,104,0,22.5,3.5,8.0,3.5,7.8,0.0,0.1,1.7,2.5,1.4,3.3,4.7,1.0,0.7,0.4,1.1,2.3,8.9,.445,.450,.160,.701,.489,.446,F-C,BOSLACORL,davisgl01
421,Derek Fisher,12.3,2009-10,2013-14,35-39,341,216,0,23.6,2.2,5.7,1.3,3.4,0.9,2.3,1.0,1.2,0.2,1.6,1.8,2.2,1.0,0.1,0.9,2.1,6.2,.380,.388,.367,.835,.497,.455,G,DALLALOKC,fishede01
422,Michael Beasley,12.2,2009-10,2018-19,21-30,528,219,0,22.5,5.0,10.8,4.5,9.3,0.5,1.4,1.7,2.3,1.0,3.5,4.6,1.3,0.6,0.5,1.7,2.1,12.2,.464,.482,.342,.757,.518,.486,F,HOULALMIAMILMINNYKPHO,beaslmi01
423,Grant Williams,12.2,2019-20,2022-23,21-24,288,58,0,21.2,2.1,4.7,1.1,2.1,1.0,2.7,0.9,1.1,0.9,2.6,3.4,1.2,0.5,0.5,0.9,2.4,6.2,.451,.546,.379,.773,.588,.558,F,BOS,willigr01
424,Toney Douglas,12.1,2009-10,2016-17,23-30,394,65,0,19.1,2.8,6.9,1.6,3.7,1.1,3.2,1.0,1.2,0.5,1.7,2.2,2.3,0.9,0.1,1.0,2.0,7.6,.404,.448,.354,.824,.517,.486,G,GSWHOUMEMMIANOPNYKSAC,douglto01
425,De'Anthony Melton,11.9,2018-19,2022-23,20-24,312,113,0,22.4,3.2,7.7,1.7,3.8,1.4,3.9,1.0,1.3,0.7,3.0,3.7,2.7,1.4,0.5,1.4,2.0,8.8,.414,.459,.370,.771,.534,.508,G,MEMPHIPHO,meltode01
426,Jermaine O'Neal,11.9,2009-10,2013-14,31-35,218,121,0,22.5,3.7,7.3,3.7,7.3,0.0,0.0,1.9,2.5,1.6,4.1,5.7,0.8,0.3,1.3,1.4,2.7,9.2,.502,.503,.000,.745,.547,.502,C-F,BOSGSWMIAPHO,onealje01
427,Solomon Hill,11.9,2013-14,2021-22,22-30,448,189,0,21.5,1.9,4.9,1.1,2.4,0.8,2.4,0.9,1.1,0.6,2.5,3.1,1.5,0.7,0.2,0.8,1.7,5.5,.388,.445,.331,.797,.511,.471,F,ATLINDMEMMIANOP,hillso01
428,James Jones,11.9,2009-10,2016-17,29-36,379,34,0,12.4,1.3,3.1,0.2,0.6,1.0,2.5,0.5,0.6,0.1,1.0,1.2,0.4,0.2,0.2,0.2,1.0,4.0,.402,.377,.408,.802,.593,.565,F-G,CLEMIA,jonesja02
429,Malik Beasley,11.8,2016-17,2022-23,20-26,417,114,0,21.9,4.0,9.4,1.8,3.6,2.2,5.8,0.7,0.9,0.4,2.3,2.7,1.3,0.6,0.1,0.8,1.2,10.8,.422,.491,.378,.808,.554,.538,G,DENLALMINUTA,beaslma01
430,Landry Shamet,11.8,2018-19,2022-23,21-25,302,92,0,22.9,2.9,7.2,0.9,2.1,2.0,5.2,1.1,1.3,0.2,1.6,1.8,1.7,0.5,0.1,0.7,1.8,8.9,.406,.448,.388,.842,.573,.544,G,BRKLACPHIPHO,shamela01
431,Alex Caruso,11.8,2017-18,2022-23,23-28,292,73,0,21.3,2.1,4.9,1.3,2.7,0.8,2.1,1.1,1.4,0.5,2.1,2.6,2.7,1.2,0.4,1.2,2.0,6.0,.429,.479,.365,.749,.547,.509,G,CHILAL,carusal01
432,Andrea Bargnani,11.7,2009-10,2015-16,24-30,329,263,0,30.0,5.9,13.3,5.0,10.4,1.0,2.9,2.7,3.3,1.1,3.7,4.8,1.3,0.4,0.9,1.6,2.1,15.6,.447,.479,.334,.820,.528,.484,F-C,BRKNYKTOR,bargnan01
433,Kendrick Perkins,11.7,2009-10,2017-18,25-33,418,315,0,22.7,2.1,4.1,2.1,4.1,0.0,0.0,1.0,1.7,1.5,4.4,5.9,1.1,0.4,1.0,1.6,2.7,5.2,.512,.513,.000,.576,.534,.512,C,BOSCLENOPOKC,perkike01
434,Bryn Forbes,11.6,2016-17,2022-23,23-29,431,167,0,19.9,3.2,7.2,1.5,3.2,1.7,4.1,0.8,0.9,0.2,1.5,1.7,1.2,0.4,0.0,0.7,1.4,8.8,.436,.469,.410,.826,.572,.551,G,DENMILMINSAS,forbebr01
435,Scottie Barnes,11.6,2021-22,2022-23,20-21,151,150,0,35.1,6.1,12.9,5.3,10.1,0.8,2.8,2.3,3.1,2.5,4.6,7.1,4.2,1.1,0.8,1.9,2.4,15.3,.473,.523,.290,.755,.538,.504,G-F,TOR,barnesc01
436,Brandon Knight,11.6,2011-12,2021-22,20-30,451,349,0,29.3,5.0,12.2,3.4,7.7,1.6,4.5,2.4,2.9,0.5,2.5,3.1,3.9,0.9,0.2,2.4,2.0,14.0,.411,.445,.352,.807,.518,.476,G,CLEDALDETHOUMILPHO,knighbr03
437,Raul Neto,11.6,2015-16,2022-23,23-30,435,99,0,15.6,2.1,4.7,1.6,3.1,0.6,1.6,0.8,1.0,0.2,1.3,1.5,2.1,0.6,0.1,0.9,1.3,5.7,.458,.510,.361,.812,.555,.521,G,CLEPHIUTAWAS,netora01
438,Lonzo Ball,11.4,2017-18,2021-22,20-24,252,239,0,32.5,4.4,11.1,2.1,4.6,2.4,6.5,0.7,1.1,1.0,4.7,5.7,6.2,1.6,0.6,2.5,2.2,11.9,.400,.451,.364,.578,.513,.507,G,CHILALNOP,balllo01
439,Grant Hill,11.3,2009-10,2012-13,37-40,239,207,0,27.8,4.1,8.7,3.7,7.6,0.4,1.1,2.2,2.7,0.8,3.4,4.2,2.2,0.7,0.4,1.4,2.0,10.7,.469,.482,.376,.803,.543,.492,F-G,LACPHO,hillgr01
440,Brandon Roy,11.2,2009-10,2012-13,25-28,117,93,1,32.9,6.1,13.6,5.1,10.7,0.9,2.9,4.0,5.0,0.9,2.7,3.6,3.9,0.9,0.2,1.6,1.9,17.1,.445,.479,.323,.794,.539,.480,G,MINPOR,roybr01
441,Leandro Barbosa,11.1,2009-10,2016-17,27-34,428,8,0,17.4,3.2,7.3,2.5,5.2,0.8,2.1,1.1,1.4,0.3,1.3,1.6,1.5,0.6,0.1,1.0,1.6,8.4,.443,.479,.355,.817,.528,.495,G,BOSGSWINDPHOTOR,barbole01
442,Drew Eubanks,11.1,2018-19,2022-23,21-25,248,65,0,16.0,2.5,4.0,2.4,3.9,0.1,0.2,1.2,1.6,1.5,3.2,4.7,1.0,0.4,0.9,0.9,1.7,6.1,.607,.619,.341,.725,.646,.615,F,PORSAS,eubandr01
443,Saddiq Bey,11.1,2020-21,2022-23,21-23,229,172,0,29.4,4.7,11.6,2.4,5.1,2.3,6.5,2.4,2.8,1.1,3.8,4.9,1.9,0.9,0.2,1.0,1.6,14.1,.406,.464,.361,.844,.550,.507,F,ATLDET,beysa01
444,Matisse Thybulle,11.0,2019-20,2022-23,22-25,267,100,0,20.5,1.8,4.0,1.0,1.8,0.7,2.2,0.3,0.5,0.6,1.4,2.0,1.0,1.5,0.8,0.5,2.0,4.6,.447,.588,.334,.662,.551,.540,G,PHIPOR,thybuma01
445,Steve Novak,10.8,2009-10,2016-17,26-33,326,2,0,12.4,1.6,3.6,0.3,0.7,1.3,2.9,0.2,0.3,0.1,1.1,1.2,0.2,0.2,0.1,0.2,0.8,4.6,.435,.434,.435,.871,.621,.609,F,DALLACMILNYKOKCSASTORUTA,novakst01
446,Gary Neal,10.7,2010-11,2016-17,26-32,352,31,0,21.3,3.6,8.6,2.3,5.2,1.3,3.4,1.3,1.5,0.2,1.9,2.2,1.6,0.4,0.0,1.0,1.5,9.9,.422,.448,.382,.850,.532,.498,G,ATLCHACHOMILMINSASWAS,nealga01
447,Wesley Johnson,10.7,2010-11,2018-19,23-31,609,334,0,22.1,2.7,6.6,1.7,3.6,1.0,3.0,0.6,0.8,0.6,2.6,3.2,1.1,0.8,0.7,0.9,1.9,7.0,.404,.460,.337,.741,.499,.481,F-G,LACLALMINNOPPHOWAS,johnswe01
448,Damion Lee,10.7,2017-18,2022-23,25-30,290,58,0,20.8,2.9,6.5,1.6,3.1,1.3,3.4,1.2,1.4,0.5,2.9,3.4,1.4,0.7,0.1,0.8,1.6,8.2,.436,.499,.379,.878,.574,.535,G,ATLGSWPHO,leeda03
449,Darrell Arthur,10.7,2009-10,2017-18,21-29,427,42,0,17.5,2.8,6.3,2.4,5.2,0.4,1.1,0.7,1.0,1.0,2.3,3.3,0.9,0.6,0.6,0.9,2.4,6.7,.445,.464,.353,.780,.501,.475,F,DENMEM,arthuda01
450,Miles Plumlee,10.6,2012-13,2018-19,24-30,346,168,0,16.4,2.2,4.0,2.2,4.0,0.0,0.0,0.6,1.1,1.6,2.9,4.5,0.5,0.4,0.7,0.9,1.6,4.9,.542,.542,,.543,.550,.542,C-F,ATLCHOINDMILPHO,plumlmi01
451,Georges Niang,10.6,2016-17,2022-23,23-29,383,19,0,15.6,2.3,5.3,0.8,1.6,1.5,3.7,0.4,0.5,0.3,1.8,2.1,0.8,0.3,0.1,0.6,1.5,6.5,.438,.519,.403,.872,.594,.579,F,INDPHIUTA,niangge01
452,P.J. Washington,10.6,2019-20,2022-23,21-24,260,219,0,30.2,4.8,10.7,3.1,5.9,1.8,4.8,1.5,2.1,1.2,4.3,5.5,2.3,0.9,1.0,1.6,2.6,12.9,.450,.519,.366,.711,.554,.532,F,CHO,washipj01
453,Cedi Osman,10.6,2017-18,2022-23,22-27,404,183,0,23.6,3.5,8.2,2.0,3.8,1.6,4.4,1.2,1.6,0.5,2.6,3.0,2.0,0.7,0.1,1.1,2.0,9.7,.427,.512,.353,.715,.545,.521,F,CLE,osmande01
454,Keldon Johnson,10.5,2019-20,2022-23,20-23,224,205,0,30.0,6.1,13.0,4.5,8.5,1.6,4.5,2.7,3.6,1.1,4.5,5.6,2.1,0.7,0.2,1.4,2.0,16.5,.468,.523,.363,.752,.565,.531,G,SAS,johnske04
455,Tyler Herro,10.5,2019-20,2022-23,20-23,242,100,0,31.5,6.5,14.7,4.0,8.2,2.5,6.5,2.2,2.6,0.4,4.5,4.9,3.5,0.7,0.2,2.1,1.4,17.7,.439,.484,.383,.875,.557,.524,G,MIA,herroty01
456,LaMelo Ball,10.5,2020-21,2022-23,19-21,162,142,1,31.8,7.0,16.3,4.1,8.9,2.8,7.5,2.7,3.3,1.3,5.1,6.4,7.3,1.5,0.4,3.2,3.0,19.4,.426,.467,.377,.828,.547,.512,G,CHO,ballla01
457,Landry Fields,10.5,2010-11,2014-15,22-26,255,176,0,23.6,2.7,5.7,2.2,4.3,0.5,1.4,1.0,1.4,1.0,3.3,4.3,1.6,0.8,0.2,1.1,1.2,6.8,.473,.520,.332,.666,.539,.515,F,NYKTOR,fieldla01
458,Ekpe Udoh,10.4,2010-11,2018-19,23-31,384,56,0,14.8,1.4,3.0,1.4,3.0,0.0,0.0,0.8,1.1,1.2,1.7,2.9,0.7,0.5,1.1,0.6,1.9,3.5,.453,.455,.000,.718,.506,.453,C-F,GSWLACMILUTA,udohek01
459,Damian Jones,10.4,2016-17,2022-23,21-27,240,75,0,14.6,2.1,3.1,2.0,2.9,0.1,0.3,1.0,1.5,1.1,2.2,3.4,0.7,0.4,0.7,0.7,2.1,5.2,.662,.686,.383,.706,.699,.677,F-C,ATLGSWLALPHOSACUTA,jonesda03
