,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
454,Montrezl Harrell,HOU,2,32,2015,Louisville,2012-13,2014-15,112,75,26.4,4.8,8.1,4.7,7.8,0.1,0.4,1.9,3.6,2.6,4.3,6.9,0.9,0.8,1.1,1.3,1.9,11.6,.586,.600,.275,.533,.586,.592,F,Louisville,montrezl-harrell-1
455,Justin Harper,CLE,2,32,2011,Richmond,2009-10,2010-11,72,72,28.5,5.3,10.4,3.7,6.3,1.7,4.1,2.0,2.6,1.7,4.5,6.2,1.1,0.7,1.1,1.4,2.3,14.3,.514,.585,.405,.753,.615,.593,F,Richmond,justin-harper-1
456,Maurice Harkless,PHI,1,15,2012,St. John's (NY),2011-12,2011-12,32,32,36.1,6.0,13.3,5.5,10.9,0.5,2.5,2.9,4.3,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5,.452,.506,.215,.676,.504,.472,G,St. John's (NY),maurice-harkless-1
457,Tim Hardaway Jr.,NYK,1,24,2013,Michigan,2010-11,2012-13,107,107,33.3,4.9,11.6,3.0,6.1,1.9,5.5,2.6,3.6,0.6,3.5,4.1,2.1,0.7,0.3,1.7,2.0,14.3,.425,.500,.343,.724,.539,.507,G,Michigan,tim-hardaway-jr-1
458,Luke Harangody,BOS,2,52,2010,Notre Dame,2009-10,2009-10,30,25,33.0,8.1,16.9,7.3,14.2,0.8,2.7,4.7,5.9,2.2,6.9,9.1,1.6,0.5,0.7,1.8,2.3,21.8,.481,.514,.309,.787,.552,.506,F,Notre Dame,luke-harangody-1
459,Olivier Hanlan,UTA,2,42,2015,Boston College,2012-13,2014-15,97,95,36.0,5.8,12.9,4.0,7.8,1.8,5.0,4.3,5.6,0.6,3.3,3.9,3.1,1.1,0.1,2.4,2.2,17.8,.453,.512,.361,.778,.574,.524,G,Boston College,olivier-hanlan-1
460,Jaylen Hands,LAC,2,56,2019,UCLA,2017-18,2018-19,64,48,28.3,4.1,9.9,2.4,5.4,1.7,4.6,2.3,3.0,0.5,3.3,3.8,4.4,1.2,0.2,2.5,1.4,12.1,.409,.440,.373,.762,.533,.495,G,UCLA,jaylen-hands-1
461,A.J. Hammons,DAL,2,46,2016,Purdue,2012-13,2015-16,132,95,24.3,4.6,8.6,4.6,8.4,0.0,0.2,2.7,4.0,2.4,4.7,7.0,0.8,0.4,2.6,2.1,2.5,12.1,.539,.544,.261,.690,.574,.541,C,Purdue,aj-hammons-1
462,Justin Hamilton,PHI,2,45,2012,Louisiana State,2009-10,2011-12,64,63,25.8,3.6,6.9,3.6,6.7,0.0,0.2,2.4,3.2,3.0,3.3,6.3,0.6,0.5,1.2,1.4,2.4,9.7,.527,.535,.250,.754,.579,.531,C,Iowa StateLouisiana State,justin-hamilton-2
463,Jordan Hamilton,DAL,1,26,2011,Texas,2009-10,2010-11,70,36,26.2,5.2,12.2,3.1,6.6,2.1,5.6,1.9,2.7,1.5,4.2,5.7,1.8,0.8,0.5,1.8,1.5,14.5,.430,.475,.377,.710,.538,.516,G,Texas,jordan-hamilton-2
464,Daniel Hamilton,DEN,2,56,2016,Connecticut,2014-15,2015-16,71,71,31.6,4.2,10.9,2.9,7.1,1.3,3.9,2.0,2.6,1.0,7.3,8.3,4.2,1.0,0.4,2.3,2.1,11.7,.384,.409,.337,.772,.481,.443,G,Connecticut,daniel-hamilton-1
465,Devon Hall,OKC,2,53,2018,Virginia,2014-15,2017-18,128,89,24.0,2.4,5.7,1.5,3.4,0.9,2.3,1.2,1.5,0.3,2.8,3.2,2.1,0.6,0.2,0.9,1.4,6.9,.419,.440,.389,.807,.538,.498,G,Virginia,devon-hall-1
466,Tyrese Haliburton,SAC,1,12,2020,Iowa State,2018-19,2019-20,57,56,34.6,3.7,7.2,1.9,3.1,1.8,4.2,1.0,1.2,1.0,3.4,4.4,4.7,1.9,0.8,1.6,1.3,10.1,.509,.621,.426,.775,.645,.631,G,Iowa State,tyrese-haliburton-1
467,P.J. Hairston,MIA,1,26,2014,North Carolina,2011-12,2012-13,71,14,18.1,3.1,8.0,1.3,2.9,1.8,5.1,2.0,2.5,1.3,1.9,3.2,1.0,0.8,0.3,0.9,1.7,10.0,.388,.458,.349,.800,.544,.500,G,North Carolina,pj-hairston-1
468,Rui Hachimura,WAS,1,9,2019,Gonzaga,2016-17,2018-19,102,39,19.7,4.5,7.8,4.3,7.1,0.2,0.7,2.8,3.7,1.1,3.3,4.4,0.8,0.6,0.5,1.2,1.6,12.1,.579,.607,.316,.746,.629,.594,F,Gonzaga,rui-hachimura-1
469,Kyle Guy,NYK,2,55,2019,Virginia,2016-17,2018-19,106,78,29.1,4.4,10.1,2.0,4.5,2.4,5.6,1.3,1.6,0.4,2.6,3.0,1.6,0.7,0.0,1.1,1.1,12.5,.433,.444,.425,.806,.572,.552,G,Virginia,kyle-guy-1
470,Mouhamed Gueye,CHA,2,39,2023,Washington State,2021-22,2022-23,68,66,26.9,4.3,8.9,4.1,7.9,0.3,1.0,1.8,2.9,2.7,4.0,6.7,1.2,0.8,0.9,1.6,2.7,10.7,.489,.515,.277,.613,.523,.504,F,Washington State,mouhamed-gueye-1
471,Quentin Grimes,LAC,1,25,2021,Houston,2018-19,2020-21,96,87,29.3,4.2,10.3,2.2,4.7,2.0,5.6,2.0,2.9,0.9,3.0,3.9,2.2,0.9,0.2,2.0,2.3,12.5,.411,.464,.366,.701,.536,.510,G,HoustonKansas,quentin-grimes-1
472,AJ Griffin,ATL,1,16,2022,Duke,2021-22,2021-22,39,25,24.0,3.7,7.6,1.9,3.5,1.8,4.1,1.1,1.4,0.8,3.2,3.9,1.0,0.5,0.6,0.6,1.1,10.4,.493,.547,.447,.792,.630,.613,F,Duke,aj-griffin-1
473,Josh Green,DAL,1,18,2020,Arizona,2019-20,2019-20,30,30,30.9,4.1,9.6,3.1,6.8,1.0,2.8,2.8,3.6,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12.0,.424,.449,.361,.780,.528,.476,G,Arizona,josh-green-2
474,Erick Green,UTA,2,46,2013,Virginia Tech,2009-10,2012-13,129,89,28.3,4.6,10.5,3.5,7.3,1.1,3.2,3.2,4.0,0.5,2.1,2.6,2.5,1.2,0.2,1.4,1.6,13.5,.437,.480,.338,.804,.543,.488,G,Virginia Tech,erick-green-1
475,Draymond Green,GSW,2,35,2012,Michigan State,2009-10,2011-12,108,66,29.6,4.6,10.0,3.8,7.7,0.8,2.3,2.9,4.1,2.3,6.8,9.0,3.6,1.5,1.0,2.3,3.1,12.9,.460,.490,.363,.695,.540,.502,F,Michigan State,draymond-green-1
476,Raiquan Gray,NJN,2,59,2021,Florida State,2018-19,2020-21,90,52,18.5,2.4,5.3,2.1,4.1,0.3,1.1,1.7,2.3,1.0,2.9,3.9,1.4,1.0,0.5,1.5,2.2,6.8,.458,.512,.262,.732,.535,.486,F,Florida State,raiquan-gray-1
477,Jerian Grant,WAS,1,19,2015,Notre Dame,2011-12,2014-15,119,117,36.4,4.7,10.7,3.2,6.4,1.5,4.4,3.8,4.8,0.4,2.5,2.9,5.8,1.5,0.3,2.2,1.8,14.6,.436,.498,.345,.790,.563,.506,G,Notre Dame,jerian-grant-1
478,Jerami Grant,PHI,2,39,2014,Syracuse,2012-13,2013-14,72,29,21.9,2.6,5.3,2.5,5.1,0.1,0.3,2.2,3.5,1.7,2.9,4.7,0.9,0.6,0.5,0.9,1.8,7.5,.486,.496,.300,.641,.536,.494,F,Syracuse,jerami-grant-1
479,Devonte' Graham,ATL,2,34,2018,Kansas,2014-15,2017-18,142,111,31.7,3.8,9.1,1.8,4.0,2.1,5.1,2.5,3.2,0.4,2.7,3.1,4.5,1.4,0.1,1.9,1.7,12.3,.422,.437,.409,.787,.578,.536,G,Kansas,devonte-graham-1
480,Andrew Goudelock,LAL,2,46,2011,College of Charleston,2009-10,2010-11,71,71,35.4,8.0,17.6,4.8,9.6,3.2,8.0,2.4,2.9,0.7,3.4,4.1,4.1,1.0,0.3,2.6,1.7,21.6,.453,.497,.401,.822,.568,.544,G,College of Charleston,andrew-goudelock-1
481,Aaron Gordon,ORL,1,4,2014,Arizona,2013-14,2013-14,38,38,31.2,5.0,10.1,4.6,8.9,0.4,1.2,2.0,4.7,2.7,5.3,8.0,2.0,0.9,1.0,1.4,2.4,12.4,.495,.513,.356,.422,.503,.516,F,Arizona,aaron-gordon-1
482,Archie Goodwin,OKC,1,29,2013,Kentucky,2012-13,2012-13,33,33,31.8,4.8,10.8,4.2,8.9,0.5,1.9,4.1,6.4,1.5,3.2,4.6,2.7,1.1,0.5,3.1,2.9,14.1,.440,.478,.266,.637,.509,.464,G,Kentucky,archie-goodwin-1
483,Shai Gilgeous-Alexander,CHA,1,11,2018,Kentucky,2017-18,2017-18,37,24,33.7,4.9,10.2,4.3,8.6,0.6,1.5,3.9,4.7,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,.485,.500,.404,.817,.578,.516,G,Kentucky,shai-gilgeous-alexander-1
484,Harry Giles,POR,1,20,2017,Duke,2016-17,2016-17,26,6,11.5,1.7,3.0,1.7,3.0,0.0,0.0,0.5,0.9,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,.577,.577,,.500,.570,.577,F,Duke,harry-giles-1
485,Paul George,IND,1,10,2010,Fresno State,2009-10,2009-10,29,29,33.2,5.3,12.5,3.3,6.8,2.0,5.8,4.1,4.6,1.9,5.3,7.2,3.0,2.2,0.8,3.2,2.9,16.8,.424,.485,.353,.909,.572,.506,F,Fresno State,paul-george-1
486,Keyonte George,UTA,1,16,2023,Baylor,2022-23,2022-23,33,33,28.6,4.7,12.5,2.4,5.6,2.3,6.9,3.6,4.5,1.0,3.2,4.2,2.8,1.1,0.2,2.9,2.1,15.3,.376,.424,.338,.793,.524,.470,G,Baylor,keyonte-george-1
487,Michael Gbinije,DET,2,49,2016,Syracuse,2011-12,2015-16,120,61,25.5,3.4,7.5,2.1,4.1,1.3,3.4,1.7,2.6,0.8,2.3,3.1,2.6,1.3,0.3,1.6,2.1,9.8,.454,.511,.387,.639,.561,.543,F,DukeSyracuse,michael-gbinije-1
488,Luka Garza,DET,2,52,2021,Iowa,2017-18,2020-21,127,118,27.1,6.9,12.6,5.9,10.0,0.9,2.6,3.5,5.0,2.7,4.6,7.3,1.2,0.5,1.2,1.4,2.4,18.2,.546,.592,.367,.701,.608,.583,F,Iowa,luka-garza-1
489,Darius Garland,CLE,1,5,2019,Vanderbilt,2018-19,2018-19,5,5,27.8,5.8,10.8,3.6,6.2,2.2,4.6,2.4,3.2,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,.537,.581,.478,.750,.657,.639,G,Vanderbilt,darius-garland-1
490,Tiny Gallon,MIL,2,47,2010,Oklahoma,2009-10,2009-10,30,21,24.0,4.1,7.4,3.9,6.9,0.1,0.6,2.1,3.0,2.8,5.2,7.9,0.8,0.7,0.8,2.3,2.8,10.3,.547,.573,.235,.697,.584,.556,F,Oklahoma,tiny-gallon-1
491,Daniel Gafford,CHI,2,38,2019,Arkansas,2017-18,2018-19,67,58,25.5,5.6,8.9,5.6,8.9,0.0,0.0,3.0,5.3,2.5,4.9,7.4,0.7,0.7,2.1,1.7,3.0,14.3,.635,.635,,.562,.626,.635,F,Arkansas,daniel-gafford-1
492,Markelle Fultz,PHI,1,1,2017,Washington,2016-17,2016-17,25,25,35.7,8.4,17.6,6.3,12.5,2.1,5.0,4.4,6.7,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,.476,.502,.413,.649,.558,.535,G,Washington,markelle-fultz-1
493,Jimmer Fredette,MIL,1,10,2011,Brigham Young,2009-10,2010-11,71,70,33.5,8.0,17.7,5.2,10.8,2.8,6.9,6.7,7.5,0.7,2.6,3.3,4.5,1.3,0.1,3.2,1.2,25.6,.455,.482,.412,.893,.603,.535,G,Brigham Young,jimmer-fredette-1
494,Melvin Frazier,ORL,2,35,2018,Tulane,2015-16,2017-18,94,69,27.7,3.8,7.9,3.0,5.2,0.9,2.8,2.1,3.2,1.2,3.2,4.4,1.7,1.6,0.5,2.0,2.0,10.6,.481,.572,.312,.653,.560,.536,G,Tulane,melvin-frazier-1
495,Jamaal Franklin,MEM,2,41,2013,San Diego State,2010-11,2012-13,85,54,25.9,4.3,10.0,3.1,6.2,1.2,3.8,4.0,5.1,1.5,5.5,7.0,1.9,1.0,0.6,2.6,2.1,13.7,.426,.504,.302,.780,.550,.484,G,San Diego State,jamaal-franklin-1
496,De'Aaron Fox,SAC,1,5,2017,Kentucky,2016-17,2016-17,36,34,29.6,5.9,12.4,5.5,10.5,0.5,1.9,4.3,5.9,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7,.479,.521,.246,.736,.549,.498,G,Kentucky,deaaron-fox-1
497,Malachi Flynn,TOR,1,29,2020,San Diego State,2016-17,2019-20,94,92,33.3,4.8,11.4,2.5,5.2,2.2,6.2,2.6,3.1,0.5,3.1,3.6,4.1,1.3,0.1,2.0,1.8,14.4,.420,.488,.363,.833,.559,.518,G,San Diego StateWashington State,malachi-flynn-1
498,Landry Fields,NYK,2,39,2010,Stanford,2009-10,2009-10,32,32,36.3,7.8,15.8,6.8,13.1,0.9,2.7,5.6,8.0,2.5,6.2,8.8,2.8,1.6,0.8,2.6,2.0,22.0,.490,.521,.337,.696,.560,.519,G,Stanford,landry-fields-1
499,Bruno Fernando,PHI,2,34,2019,Maryland,2017-18,2018-19,64,53,26.4,4.5,7.6,4.5,7.4,0.1,0.2,2.9,3.8,2.3,6.5,8.7,1.4,0.5,1.6,2.3,2.8,12.0,.595,.603,.308,.763,.638,.599,F,Maryland,bruno-fernando-1
500,Carrick Felix,CLE,2,33,2013,Arizona State,2010-11,2012-13,94,69,27.9,3.6,8.0,2.6,4.7,1.1,3.2,1.9,2.6,1.3,3.5,4.8,1.3,1.0,0.8,1.7,2.4,10.2,.456,.545,.326,.704,.552,.522,G,Arizona State,carrick-felix-1
501,Kay Felder,ATL,2,54,2016,Oakland,2013-14,2015-16,101,100,35.9,5.5,12.9,4.1,8.8,1.4,4.1,5.1,6.2,0.7,3.7,4.3,7.8,1.6,0.2,3.5,2.8,17.5,.426,.464,.345,.822,.553,.481,G,Oakland,kahlil-felder-1
502,Derrick Favors,NJN,1,3,2010,Georgia Tech,2009-10,2009-10,36,35,27.5,5.0,8.1,5.0,8.1,0.0,0.0,2.5,4.0,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4,.611,.613,.000,.629,.621,.611,F,Georgia Tech,derrick-favors-1
503,Kenneth Faried,DEN,1,22,2011,Morehead State,2009-10,2010-11,70,66,32.5,6.5,11.0,6.5,11.0,0.0,0.1,4.0,6.8,5.0,8.8,13.8,0.8,1.8,2.1,2.5,3.2,17.1,.593,.595,.250,.586,.599,.593,F,Morehead State,kenneth-faried-1
504,Festus Ezeli,GSW,1,30,2012,Vanderbilt,2009-10,2011-12,92,61,19.7,3.1,5.6,3.1,5.6,0.0,0.0,2.7,4.5,2.0,3.1,5.1,0.2,0.4,2.0,1.7,2.8,9.0,.564,.564,,.594,.581,.564,C,Vanderbilt,festus-ezeli-1
505,Jeremy Evans,UTA,2,55,2010,Western Kentucky,2009-10,2009-10,34,34,26.5,4.0,6.2,3.9,5.9,0.1,0.4,1.9,2.7,3.0,3.9,6.9,0.7,0.8,1.8,1.1,2.9,10.0,.649,.673,.250,.688,.668,.656,F,Western Kentucky,jeremy-evans-1
506,Jawun Evans,PHI,2,39,2017,Oklahoma State,2015-16,2016-17,54,52,29.1,5.7,12.7,4.7,10.2,1.0,2.5,4.2,5.1,0.6,3.2,3.8,5.8,1.5,0.1,2.7,2.4,16.6,.448,.458,.407,.818,.547,.488,G,Oklahoma State,jawun-evans-1
507,Jacob Evans,GSW,1,28,2018,Cincinnati,2015-16,2017-18,105,80,29.1,4.0,9.4,2.4,5.0,1.7,4.4,2.0,2.7,1.3,3.0,4.3,2.5,1.1,0.9,1.3,2.0,11.7,.429,.476,.377,.755,.551,.518,G,Cincinnati,jacob-evans-1
508,Tyler Ennis,PHO,1,18,2014,Syracuse,2013-14,2013-14,34,34,35.7,4.4,10.6,3.5,8.1,0.9,2.5,3.4,4.4,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2.0,12.9,.411,.429,.353,.765,.511,.453,G,Syracuse,tyler-ennis-1
509,James Ennis,ATL,2,50,2013,Long Beach State,2011-12,2012-13,67,66,31.0,4.5,9.0,3.0,4.9,1.5,4.1,2.8,3.6,1.6,3.8,5.4,2.4,1.7,1.0,2.5,2.4,13.2,.493,.611,.354,.788,.615,.574,G,Long Beach State,james-ennis-1
510,Kim English,DET,2,44,2012,Missouri,2009-10,2011-12,103,93,27.8,4.2,9.9,2.3,5.0,1.9,4.8,2.5,3.5,0.7,2.8,3.6,1.6,1.3,0.2,1.9,1.9,12.8,.427,.453,.399,.728,.559,.524,G,Missouri,kim-english-1
511,Joel Embiid,PHI,1,3,2014,Kansas,2013-14,2013-14,28,20,23.1,3.8,6.1,3.8,5.9,0.0,0.2,3.5,5.1,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,.626,.639,.200,.685,.655,.629,C,Kansas,joel-embiid-1
512,Henry Ellenson,DET,1,18,2016,Marquette,2015-16,2015-16,33,33,33.5,5.9,13.2,5.0,10.0,0.9,3.2,4.3,5.8,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17.0,.446,.495,.288,.749,.534,.480,F,Marquette,henry-ellenson-1
513,CJ Elleby,POR,2,46,2020,Washington State,2018-19,2019-20,64,60,32.2,5.7,13.8,3.7,8.4,2.0,5.4,3.2,4.2,1.4,6.1,7.5,2.4,1.4,0.7,2.6,2.8,16.6,.413,.443,.367,.749,.524,.485,F,Washington State,cj-elleby-1
514,Vince Edwards,UTA,2,52,2018,Purdue,2014-15,2017-18,138,127,28.7,4.3,9.0,3.0,5.8,1.3,3.2,2.1,2.5,1.9,3.7,5.6,2.9,0.5,0.5,1.7,2.0,11.9,.473,.518,.392,.820,.581,.543,F,Purdue,vince-edwards-2
515,Kessler Edwards,NJN,2,44,2021,Pepperdine,2018-19,2020-21,92,84,31.6,4.6,9.8,3.0,5.7,1.6,4.1,2.4,3.0,1.7,4.8,6.5,1.2,1.0,1.3,1.5,2.4,13.3,.469,.522,.395,.789,.587,.551,F,Pepperdine,kessler-edwards-1
516,Carsen Edwards,PHI,2,33,2019,Purdue,2016-17,2018-19,108,94,29.4,5.9,14.2,3.3,7.2,2.6,7.1,3.4,4.2,0.4,3.0,3.4,2.5,1.2,0.2,2.2,1.9,17.8,.412,.455,.368,.817,.547,.504,G,Purdue,carsen-edwards-1
517,Anthony Edwards,MIN,1,1,2020,Georgia,2019-20,2019-20,32,32,33.0,6.3,15.8,4.1,8.1,2.3,7.7,4.1,5.3,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,.402,.504,.294,.772,.520,.473,G,Georgia,anthony-edwards-2
518,Devin Ebanks,LAL,2,43,2010,West Virginia,2009-10,2009-10,34,31,34.1,4.2,9.3,4.1,8.4,0.1,0.9,3.4,4.5,2.9,5.2,8.1,2.4,1.1,0.7,2.2,1.6,12.0,.457,.495,.100,.770,.527,.462,F,West Virginia,devin-ebanks-1
519,Tari Eason,HOU,1,17,2022,Louisiana State,2020-21,2021-22,56,12,22.4,4.6,9.1,4.0,7.2,0.6,1.9,3.2,4.2,2.3,4.1,6.3,1.1,1.6,1.2,2.2,2.7,13.0,.504,.551,.327,.757,.585,.538,F,CincinnatiLouisiana State,tari-eason-1
520,Cleanthony Early,NYK,2,34,2014,Wichita State,2012-13,2013-14,75,58,26.2,4.9,10.5,3.4,6.2,1.5,4.3,3.7,4.6,1.8,3.8,5.7,0.7,0.8,0.8,1.7,2.4,15.1,.470,.555,.348,.819,.596,.541,F,Wichita State,cleanthony-early-1
521,Jalen Duren,CHA,1,13,2022,Memphis,2021-22,2021-22,29,29,25.3,4.9,8.1,4.9,8.1,0.0,0.0,2.2,3.6,3.0,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12.0,.597,.600,.000,.625,.608,.597,C,Memphis,jalen-duren-1
522,Kris Dunn,MIN,1,5,2016,Providence,2012-13,2015-16,95,83,31.5,4.5,9.9,3.7,7.8,0.8,2.2,3.1,4.5,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8,.450,.476,.354,.693,.531,.488,G,Providence,kris-dunn-1
523,Chris Duarte,IND,1,13,2021,Oregon,2019-20,2020-21,54,54,32.0,5.3,11.2,3.3,5.9,2.0,5.3,2.3,2.9,1.1,4.0,5.1,2.1,1.8,0.7,1.9,1.5,14.9,.473,.555,.380,.803,.593,.562,G,Oregon,chris-duarte-1
524,Andre Drummond,DET,1,9,2012,Connecticut,2011-12,2011-12,34,30,28.4,4.6,8.6,4.6,8.5,0.0,0.1,0.8,2.6,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0,.538,.541,.000,.295,.509,.538,C,Connecticut,andre-drummond-1
525,Damyean Dotson,NYK,2,44,2017,Oregon,2012-13,2016-17,134,133,29.1,4.8,10.4,3.0,5.6,1.8,4.8,1.5,1.9,1.2,3.8,5.0,1.1,0.8,0.2,1.1,1.6,12.9,.464,.535,.380,.796,.574,.551,G,HoustonOregon,damyean-dotson-1
526,Ayo Dosunmu,CHI,2,38,2021,Illinois,2018-19,2020-21,90,90,33.2,6.3,13.4,5.1,9.9,1.2,3.6,2.8,3.8,0.8,4.0,4.8,3.9,1.1,0.2,2.7,1.9,16.7,.470,.516,.345,.750,.548,.516,G,Illinois,ayo-dosunmu-1
527,Tyler Dorsey,ATL,2,41,2017,Oregon,2015-16,2016-17,75,74,30.0,4.6,10.0,2.5,5.1,2.1,5.0,2.9,3.9,1.1,2.8,3.9,1.8,0.8,0.1,1.7,1.8,14.1,.455,.493,.416,.732,.591,.558,G,Oregon,tyler-dorsey-1
528,Donte DiVincenzo,MIL,1,17,2018,Villanova,2015-16,2017-18,85,12,25.4,3.6,7.6,2.0,3.6,1.5,4.0,1.6,2.2,1.1,2.9,4.0,2.4,0.9,0.2,1.6,1.8,10.2,.469,.573,.378,.705,.591,.570,G,Villanova,donte-divincenzo-1
529,Spencer Dinwiddie,DET,2,38,2014,Colorado,2011-12,2013-14,86,86,30.1,3.4,8.0,2.0,4.6,1.3,3.5,4.9,5.9,0.5,2.9,3.3,2.6,1.1,0.3,1.8,2.1,13.0,.420,.446,.386,.830,.599,.504,G,Colorado,spencer-dinwiddie-1
530,Gorgui Dieng,UTA,1,21,2013,Louisville,2010-11,2012-13,102,81,27.3,3.3,6.1,3.3,6.0,0.0,0.0,1.7,2.7,3.0,4.9,7.9,1.2,1.0,2.6,1.6,2.7,8.3,.545,.546,.333,.640,.568,.546,C,Louisville,gorgui-dieng-1
531,Jon Diebler,POR,2,51,2011,Ohio State,2009-10,2010-11,74,73,36.4,4.0,8.4,0.9,1.6,3.1,6.8,1.8,2.1,0.3,2.4,2.7,1.9,1.1,0.1,1.0,1.4,12.8,.470,.521,.457,.842,.679,.654,G,Ohio State,jon-diebler-1
532,Gradey Dick,TOR,1,13,2023,Kansas,2022-23,2022-23,36,36,32.7,4.8,10.9,2.5,5.2,2.3,5.7,2.1,2.5,1.1,4.0,5.1,1.7,1.4,0.3,1.3,2.1,14.1,.442,.484,.403,.854,.581,.547,G,Kansas,gradey-dick-1
533,Hamidou Diallo,NJN,2,45,2018,Kentucky,2017-18,2017-18,37,37,24.8,3.6,8.5,2.9,6.4,0.7,2.1,2.1,3.4,0.9,2.8,3.6,1.2,0.8,0.4,1.4,2.6,10.0,.428,.458,.338,.616,.498,.470,G,Kentucky,hamidou-diallo-1
534,Cheick Diallo,LAC,2,33,2016,Kansas,2015-16,2015-16,27,1,7.5,1.2,2.1,1.2,2.1,0.0,0.0,0.6,1.0,0.6,1.9,2.5,0.0,0.3,0.9,0.6,1.4,3.0,.569,.569,,.556,.572,.569,F,Kansas,cheick-diallo-1
535,Moussa Diabate,LAC,2,43,2022,Michigan,2021-22,2021-22,32,26,24.9,3.7,6.8,3.6,6.3,0.1,0.4,1.6,2.6,2.4,3.6,6.0,0.8,0.3,0.9,1.5,2.7,9.0,.542,.564,.214,.619,.565,.549,F,Michigan,moussa-diabate-1
536,Marcus Denmon,SAS,2,59,2012,Missouri,2009-10,2011-12,103,71,28.8,5.0,10.7,2.6,5.0,2.4,5.8,2.6,3.2,1.0,2.9,3.8,1.8,1.4,0.1,1.0,1.3,15.0,.467,.520,.420,.799,.612,.579,G,Missouri,marcus-denmon-1
537,Sam Dekker,HOU,1,18,2015,Wisconsin,2012-13,2014-15,113,81,27.9,4.4,9.0,3.2,5.3,1.3,3.6,2.0,2.8,1.6,3.4,5.0,1.3,0.6,0.5,1.0,1.2,12.1,.493,.591,.348,.695,.585,.563,F,Wisconsin,sam-dekker-1
538,Branden Dawson,NOH,2,56,2015,Michigan State,2011-12,2014-15,130,122,26.6,4.4,7.8,4.4,7.7,0.0,0.1,1.4,2.4,2.5,4.4,6.9,1.4,1.3,1.1,1.7,1.6,10.1,.559,.564,.000,.558,.562,.559,F,Michigan State,branden-dawson-1
539,JD Davison,BOS,2,53,2022,Alabama,2021-22,2021-22,33,5,25.8,3.0,6.5,2.2,4.0,0.8,2.5,1.8,2.5,1.1,3.7,4.8,4.3,1.0,0.4,2.9,1.2,8.5,.463,.565,.301,.728,.558,.521,G,Alabama,jd-davison-1
540,Johnny Davis,WAS,1,10,2022,Wisconsin,2020-21,2021-22,62,31,29.2,4.8,11.1,4.0,8.5,0.8,2.5,3.0,3.9,1.2,5.0,6.2,1.6,1.1,0.7,1.7,2.1,13.4,.431,.462,.325,.779,.518,.468,G,Wisconsin,jonathan-davis-3
541,Ed Davis,TOR,1,13,2010,North Carolina,2009-10,2009-10,23,23,27.9,4.8,8.3,4.8,8.3,0.0,0.0,3.8,5.7,2.9,6.7,9.6,1.0,0.4,2.8,2.0,1.8,13.4,.578,.578,,.659,.607,.578,F,North Carolina,ed-davis-1
542,Deyonta Davis,BOS,2,31,2016,Michigan State,2015-16,2015-16,35,16,18.6,3.4,5.7,3.4,5.7,0.0,0.0,0.7,1.1,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,.598,.598,,.605,.601,.598,F,Michigan State,deyonta-davis-1
543,Anthony Davis,NOH,1,1,2012,Kentucky,2011-12,2011-12,40,40,32.0,5.3,8.4,5.2,7.9,0.1,0.5,3.6,5.1,3.0,7.4,10.4,1.3,1.4,4.7,1.0,2.0,14.2,.623,.653,.150,.709,.654,.628,F,Kentucky,anthony-davis-5
544,DeAndre Daniels,TOR,2,37,2014,Connecticut,2011-12,2013-14,99,80,23.8,3.6,8.0,2.8,5.6,0.8,2.4,1.5,2.0,1.2,3.5,4.6,0.5,0.6,1.2,1.3,2.0,9.6,.454,.499,.349,.752,.537,.506,F,Connecticut,deandre-daniels-1
545,Jared Cunningham,CLE,1,24,2012,Oregon State,2009-10,2011-12,98,83,27.9,3.9,8.5,3.0,6.0,0.9,2.5,4.4,5.8,0.9,2.1,3.0,2.0,2.2,0.2,2.6,2.5,13.0,.455,.501,.344,.754,.576,.505,G,Oregon State,jared-cunningham-2
